Status:WygrałeśGracz: 22, AI1: 7, AI2: 4
Status:WygrałeśGracz: 20, AI1: 3, AI2: 2
Status:PrzegrałeśGracz: 11, AI1: 9, AI2: 4
Status:Przegrałeś Gracz: 1, AI1: 1, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 22, AI1: 5, AI2: 2
Status:Wygrałeś Gracz: 20, AI1: 5, AI2: 5
Status:Przegrałeś Gracz: 0, AI1: 1, AI2: 1
Status:Przegrałeś Gracz: 0, AI1: 2, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 1, AI2: 1
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 23, AI1: 5, AI2: 3
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 1, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 10, AI2: 3
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 1, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 1, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 1, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 1, AI2: 1
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 1, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
